id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Unnamed: 0,genre_ids,popularity,title,vote_average,vote_count,weighted_rating
12,2013-12-25,47 Ronin,175000000,38362475,151716815,7998,"Adventure, Comedy, Drama, Fantasy",10.743,The Secret Life of Walter Mitty,7.1,4859,7.023858541554253
84,2013-12-25,Lone Survivor,40000000,125095601,149804632,7883,"Crime, Drama, Comedy",29.518,The Wolf of Wall Street,7.9,12411,7.705437951987207
84,2013-12-25,Lone Survivor,40000000,125095601,149804632,7998,"Adventure, Comedy, Drama, Fantasy",10.743,The Secret Life of Walter Mitty,7.1,4859,7.023858541554253
77,2013-12-25,Grudge Match,40000000,29807260,69807260,7883,"Crime, Drama, Comedy",29.518,The Wolf of Wall Street,7.9,12411,7.705437951987207
77,2013-12-25,Grudge Match,40000000,29807260,69807260,7998,"Adventure, Comedy, Drama, Fantasy",10.743,The Secret Life of Walter Mitty,7.1,4859,7.023858541554253
15,2013-12-25,August: Osage County,25000000,37738810,50738810,7883,"Crime, Drama, Comedy",29.518,The Wolf of Wall Street,7.9,12411,7.705437951987207
15,2013-12-25,August: Osage County,25000000,37738810,50738810,7998,"Adventure, Comedy, Drama, Fantasy",10.743,The Secret Life of Walter Mitty,7.1,4859,7.023858541554253
44,2015-03-27,Home,130000000,177397510,385997896,11059,"Horror, Thriller",18.419,It Follows,6.5,3485,6.6852897884463935
97,2015-03-27,Get Hard,40000000,90411453,106511453,11059,"Horror, Thriller",18.419,It Follows,6.5,3485,6.6852897884463935
45,2015-03-27,While We're Young,10000000,7582065,17503828,11059,"Horror, Thriller",18.419,It Follows,6.5,3485,6.6852897884463935
33,2016-06-24,Independence Day: Resurgence,165000000,103144286,384169424,17451,"Action, Adventure, Science Fiction",15.732,Independence Day: Resurgence,5.1,3911,5.881595178422063
33,2016-06-24,Independence Day: Resurgence,165000000,103144286,384169424,17469,"Horror, Drama, Thriller",14.091,The Shallows,6.3,3037,6.598427079356448
54,2016-06-24,The Shallows,13000000,55121623,118763442,17451,"Action, Adventure, Science Fiction",15.732,Independence Day: Resurgence,5.1,3911,5.881595178422063
54,2016-06-24,The Shallows,13000000,55121623,118763442,17469,"Horror, Drama, Thriller",14.091,The Shallows,6.3,3037,6.598427079356448
25,2016-06-24,Hunt for the Wilderpeople,2500000,5205471,23845533,17451,"Action, Adventure, Science Fiction",15.732,Independence Day: Resurgence,5.1,3911,5.881595178422063
25,2016-06-24,Hunt for the Wilderpeople,2500000,5205471,23845533,17469,"Horror, Drama, Thriller",14.091,The Shallows,6.3,3037,6.598427079356448
81,2016-06-24,Free State of Jones,50000000,20810036,23237252,17451,"Action, Adventure, Science Fiction",15.732,Independence Day: Resurgence,5.1,3911,5.881595178422063
81,2016-06-24,Free State of Jones,50000000,20810036,23237252,17469,"Horror, Drama, Thriller",14.091,The Shallows,6.3,3037,6.598427079356448
10,2016-06-24,Swiss Army Man,3000000,4210454,5837111,17451,"Action, Adventure, Science Fiction",15.732,Independence Day: Resurgence,5.1,3911,5.881595178422063
10,2016-06-24,Swiss Army Man,3000000,4210454,5837111,17469,"Horror, Drama, Thriller",14.091,The Shallows,6.3,3037,6.598427079356448
68,2016-06-24,The Neon Demon,7500000,1333124,3559803,17451,"Action, Adventure, Science Fiction",15.732,Independence Day: Resurgence,5.1,3911,5.881595178422063
68,2016-06-24,The Neon Demon,7500000,1333124,3559803,17469,"Horror, Drama, Thriller",14.091,The Shallows,6.3,3037,6.598427079356448
91,2017-02-10,Fifty Shades Darker,55000000,114434010,381398492,20619,"Thriller, Action, Crime",45.253,John Wick: Chapter 2,7.0,5863,6.966332424469692
91,2017-02-10,Fifty Shades Darker,55000000,114434010,381398492,20770,"Drama, Romance",12.083,Fifty Shades Darker,6.1,4489,6.420684240629572
41,2017-02-10,The Lego Batman Movie,80000000,175750384,310660018,20619,"Thriller, Action, Crime",45.253,John Wick: Chapter 2,7.0,5863,6.966332424469692
41,2017-02-10,The Lego Batman Movie,80000000,175750384,310660018,20770,"Drama, Romance",12.083,Fifty Shades Darker,6.1,4489,6.420684240629572
94,2017-02-10,John Wick: Chapter Two,40000000,92029184,171350009,20619,"Thriller, Action, Crime",45.253,John Wick: Chapter 2,7.0,5863,6.966332424469692
94,2017-02-10,John Wick: Chapter Two,40000000,92029184,171350009,20770,"Drama, Romance",12.083,Fifty Shades Darker,6.1,4489,6.420684240629572
96,2012-09-28,Hotel Transylvania,85000000,148313048,378505812,5207,"Action, Thriller, Science Fiction",16.779,Looper,6.8,6723,6.831019672742452
96,2012-09-28,Hotel Transylvania,85000000,148313048,378505812,5220,"Animation, Comedy, Family, Fantasy",15.318,Hotel Transylvania,6.9,5013,6.900200209419053
96,2012-09-28,Hotel Transylvania,85000000,148313048,378505812,5239,"Comedy, Music, Romance",13.886,Pitch Perfect,7.3,4233,7.134315536855366
