Movie ID,Primary Title,Movie Length,Genres,Average Rating,Num of Votes,Primary Name,Position,id,release_date,movie,production_budget,domestic_gross,worldwide_gross
tt1790885,Zero Dark Thirty,157.0,"Drama,Thriller",7.4,251072,Kathryn Bigelow,director,66,"Dec 19, 2012",Zero Dark Thirty,"$52,500,000","$95,720,716","$134,612,435"
tt0443272,Lincoln,150.0,"Biography,Drama,History",7.4,228701,Steven Spielberg,director,73,"Nov 9, 2012",Lincoln,"$65,000,000","$182,207,973","$273,346,281"
tt3606888,A Street Cat Named Bob,103.0,"Biography,Comedy,Drama",7.4,23204,Roger Spottiswoode,director,31,"Nov 18, 2016",A Street Cat Named Bob,"$8,000,000","$82,703","$17,382,693"
tt1798684,Southpaw,124.0,"Drama,Sport",7.4,199783,Forest Whitaker,actor,92,"Jul 24, 2015",Southpaw,"$30,000,000","$52,421,953","$94,156,456"
tt1083452,Eddie the Eagle,106.0,"Biography,Comedy,Drama",7.4,75331,Dexter Fletcher,director,86,"Feb 26, 2016",Eddie the Eagle,"$23,000,000","$15,789,389","$45,060,480"
tt5932728,The Professor and the Madman,124.0,"Biography,Drama,Mystery",7.4,10383,Mel Gibson,actor,26,"May 10, 2019",The Professor and the Madman,"$25,000,000",$0,"$5,227,233"
tt2911666,John Wick,101.0,"Action,Crime,Thriller",7.4,449942,Keanu Reeves,actor,6,"Oct 24, 2014",John Wick,"$30,000,000","$43,037,835","$76,235,001"
tt1276104,Looper,113.0,"Action,Crime,Drama",7.4,500595,Bruce Willis,actor,69,"Sep 28, 2012",Looper,"$30,000,000","$66,486,205","$170,466,405"
tt1872194,The Judge,141.0,"Crime,Drama",7.4,162952,Robert Downey Jr.,actor,41,"Oct 10, 2014",The Judge,"$50,000,000","$47,119,388","$76,119,388"
tt1213641,First Man,141.0,"Biography,Drama,History",7.4,120009,Kyle Chandler,actor,6,"Oct 12, 2018",First Man,"$60,000,000","$44,936,545","$105,203,825"
tt5247022,Paterson,118.0,"Comedy,Drama,Romance",7.4,55285,Jim Jarmusch,director,54,"Dec 28, 2016",Paterson,"$5,000,000","$2,141,423","$10,727,536"
