Movie ID,Primary Title,Movie Length,Genres,Average Rating,Num of Votes,Primary Name,Position
tt2265171,The Raid 2,150.0,"Action,Crime,Thriller",8.0,104517,Nate Bolotin,producer
tt2543472,Wonder,113.0,"Drama,Family",8.0,111632,Julia Roberts,actress
tt0947798,Black Swan,108.0,"Drama,Thriller",8.0,648854,Natalie Portman,actress
tt1431045,Deadpool,108.0,"Action,Adventure,Comedy",8.0,820847,Ryan Reynolds,actor
tt1663202,The Revenant,156.0,"Action,Adventure,Biography",8.0,621193,Leonardo DiCaprio,actor
tt3544112,Sing Street,106.0,"Comedy,Drama,Music",8.0,74651,Anthony Bregman,producer
tt3848892,Baby,159.0,"Action,Thriller",8.0,48318,Danny Denzongpa,actor
tt2084970,The Imitation Game,114.0,"Biography,Drama,Thriller",8.0,620834,Matthew Goode,actor
tt2150209,My Grandfather's People,126.0,"Comedy,Drama,Family",8.0,7750,Mustafa Oguz,producer
tt1631867,Edge of Tomorrow,113.0,"Action,Sci-Fi",7.9,546284,Tom Cruise,actor
tt5726616,Call Me by Your Name,132.0,"Drama,Romance",7.9,153936,Amira Casar,actress
tt2181931,English Vinglish,134.0,"Comedy,Drama,Family",7.9,30323,Sridevi,actress
tt2069100,The Third Half,113.0,"Drama,History,Romance",7.9,7977,Klaus Fuxjäger,cinematographer
tt2872718,Nightcrawler,117.0,"Crime,Drama,Thriller",7.9,404476,Bill Paxton,actor
tt6333060,Icarus,120.0,"Documentary,Sport,Thriller",7.9,28979,Dan Cogan,producer
tt2543164,Arrival,116.0,"Drama,Mystery,Sci-Fi",7.9,515483,Forest Whitaker,actor
tt1398426,Straight Outta Compton,147.0,"Biography,Drama,History",7.9,165307,Matt Alvarez,producer
tt2209418,Before Midnight,109.0,"Drama,Romance",7.9,123107,Ethan Hawke,actor
tt5168192,"I, Daniel Blake",100.0,Drama,7.9,44200,George Fenton,composer
tt6452574,Sanju,155.0,"Biography,Drama",7.9,40473,A.R. Rahman,composer
tt2130321,West of Memphis,147.0,"Crime,Documentary",7.9,9264,Peter Jackson,producer
tt3646462,Let's Sin,110.0,"Action,Crime,Drama",7.9,9738,Onur Ünlü,director
tt1602620,Amour,127.0,"Drama,Romance",7.9,84960,Isabelle Huppert,actress
tt4468740,Paddington 2,103.0,"Adventure,Comedy,Family",7.9,46481,Hugh Grant,actor
tt3501632,Thor: Ragnarok,130.0,"Action,Adventure,Comedy",7.9,482995,Cate Blanchett,actress
tt4698684,Hunt for the Wilderpeople,101.0,"Adventure,Comedy,Drama",7.9,87532,Sam Neill,actor
tt2905772,Thou Gild'st the Even,107.0,"Drama,Fantasy,Romance",7.9,7811,Onur Ünlü,director
tt0903624,The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,719629,Peter Jackson,director
tt2187153,Thuppakki,165.0,"Action,Thriller",7.9,21369,Santosh Sivan,cinematographer
tt5213534,Oasis: Supersonic,122.0,"Biography,Documentary,Music",7.9,8625,Paul Arthurs,self
tt5104604,Isle of Dogs,101.0,"Adventure,Animation,Comedy",7.9,108245,Bob Balaban,actor
tt4981966,24,164.0,"Action,Sci-Fi,Thriller",7.9,14662,A.R. Rahman,composer
tt1065073,Boyhood,165.0,Drama,7.9,315584,Patricia Arquette,actress
tt4285496,Embrace of the Serpent,125.0,"Adventure,Drama",7.9,17377,Jan Bijvoet,actor
tt5013056,Dunkirk,106.0,"Action,Drama,History",7.9,466580,Hans Zimmer,composer
tt3553976,Captain Fantastic,118.0,"Comedy,Drama",7.9,159329,Viggo Mortensen,actor
tt6980546,Bharat Ane Nenu,173.0,"Action,Drama",7.9,13446,Ravi K. Chandran,cinematographer
tt1655442,The Artist,100.0,"Comedy,Drama,Romance",7.9,217184,James Cromwell,actor
tt0454876,Life of Pi,127.0,"Adventure,Drama,Fantasy",7.9,535836,Ang Lee,director
tt1827487,Once Upon a Time in Anatolia,157.0,"Crime,Drama",7.9,34691,Taner Birsel,actor
tt6155172,Roma,135.0,Drama,7.8,106768,Eugenio Caballero,production_designer
tt1287878,Poetry,139.0,Drama,7.8,8682,Nae-sang Ahn,actor
tt1365050,Beasts of No Nation,137.0,"Drama,War",7.8,63797,Idris Elba,producer
tt7748244,Ölümlü Dünya,107.0,"Action,Comedy",7.8,11933,Ali Demirel,writer
tt2358891,The Great Beauty,141.0,Drama,7.8,72297,Luca Bigazzi,cinematographer
tt1606384,My Way,137.0,"Action,Drama,War",7.8,9312,Dong-Gun Jang,actor
tt7642818,Aile Arasinda,124.0,Comedy,7.8,14442,Necati Akpinar,producer
tt5764096,Hindi Medium,132.0,"Comedy,Drama",7.8,17165,Irrfan Khan,actor
tt4846340,Hidden Figures,127.0,"Biography,Drama,History",7.8,171131,Kevin Costner,actor
tt1568346,The Girl with the Dragon Tattoo,158.0,"Crime,Drama,Mystery",7.8,387580,David Fincher,director
tt3169706,Pride,119.0,"Biography,Comedy,Drama",7.8,46571,Imelda Staunton,actress
tt1590089,Confessions,106.0,"Drama,Thriller",7.8,32144,Yoshino Kimura,actress
