id,release_date,movie,production_budget,domestic_gross,worldwide_gross,genre_ids,popularity,title,vote_average,vote_count
64,2018-06-15,Gotti,10000000,4286367,6089100,"Action, Adventure, Animation, Family",36.286,Incredibles 2,7.6,6354
64,2018-06-15,Gotti,10000000,4286367,6089100,"Crime, Drama, History, Thriller",10.034,Gotti,5.2,231
64,2018-06-15,Gotti,10000000,4286367,6089100,"Animation, Family, Fantasy",9.721,Bao,7.7,448
23,2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,"Action, Crime, Thriller",28.668000000000006,The Fate of the Furious,6.9,6335
23,2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,Comedy,9.763,Sandy Wexler,5.2,223
23,2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,Comedy,8.718,The Outcasts,6.4,340
82,2017-04-14,The Lost City of Z,30000000,8574339,17121823,"Action, Crime, Thriller",28.668000000000006,The Fate of the Furious,6.9,6335
82,2017-04-14,The Lost City of Z,30000000,8574339,17121823,Comedy,9.763,Sandy Wexler,5.2,223
82,2017-04-14,The Lost City of Z,30000000,8574339,17121823,Comedy,8.718,The Outcasts,6.4,340
22,2017-04-14,Queen of the Desert,36000000,0,1578543,"Action, Crime, Thriller",28.668000000000006,The Fate of the Furious,6.9,6335
22,2017-04-14,Queen of the Desert,36000000,0,1578543,Comedy,9.763,Sandy Wexler,5.2,223
22,2017-04-14,Queen of the Desert,36000000,0,1578543,Comedy,8.718,The Outcasts,6.4,340
48,2013-05-03,Iron Man 3,200000000,408992272,1215392272,"Action, Adventure, Science Fiction",32.093,Iron Man 3,6.9,14155
81,2013-05-03,The Iceman,10000000,1930282,3623609,"Action, Adventure, Science Fiction",32.093,Iron Man 3,6.9,14155
11,2013-05-03,"Cinco de Mayo, La Batalla",10000000,173472,173472,"Action, Adventure, Science Fiction",32.093,Iron Man 3,6.9,14155
64,2013-05-03,Aroused,150000,0,0,"Action, Adventure, Science Fiction",32.093,Iron Man 3,6.9,14155
73,2015-07-10,Minions,74000000,336045770,1160336173,"Science Fiction, Mystery, Thriller",19.131,Self/less,6.3,1815
73,2015-07-10,Minions,74000000,336045770,1160336173,"Family, Animation, Adventure, Comedy",9.338,Minions,6.4,7343
73,2015-07-10,Minions,74000000,336045770,1160336173,"Horror, Thriller",9.166,The Gallows,4.8,591
73,2015-07-10,Minions,74000000,336045770,1160336173,"Comedy, Drama",6.94,Tangerine,7.0,314
80,2015-07-10,The Gallows,100000,22764410,41656474,"Science Fiction, Mystery, Thriller",19.131,Self/less,6.3,1815
