genre_ids,popularity,release_date,title,vote_average,vote_count
"Family, Animation",7.947,2010-09-14,Barbie: A Fashion Fairytale,6.8,228
"Drama, Fantasy",7.886,2010-10-22,Hereafter,5.9,848
"Drama, Mystery, Thriller, Crime, Romance",7.871,2010-12-03,All Good Things,6.0,493
"Drama, Action, Comedy, Crime",7.8629999999999995,2010-02-26,Defendor,6.4,295
"Animation, Family",7.835,2010-06-17,Day & Night,7.7,438
"Thriller, Mystery",7.829,2010-02-12,The Ghost Writer,6.8,1135
"Drama, Thriller",7.814,2005-11-11,Derailed,6.2,500
"Comedy, Romance",7.775,2010-03-12,She's Out of My League,6.1,970
Horror,7.761,2010-02-02,Triangle,6.8,1094
"Comedy, Romance, Drama",7.745,2010-08-20,The Switch,6.1,1008
"Comedy, Drama, Romance",7.735,2010-06-18,Cyrus,6.0,201
"Action, Adventure, Comedy",7.666,2010-05-21,MacGruber,5.3,270
"Comedy, Drama",7.596,2010-12-22,Somewhere,6.1,376
"Comedy, Drama, Romance",7.57,2010-03-26,Greenberg,5.9,280
Drama,7.51,2010-10-15,Conviction,7.2,297
"Drama, Adventure, History",7.502999999999999,2010-09-03,The Way Back,6.9,759
"Comedy, Family",7.442,2010-07-23,Ramona and Beezus,6.3,460
"Drama, History, TV Movie",7.372000000000001,2009-02-27,Prayers for Bobby,7.9,220
"Comedy, Romance",7.364,2010-12-30,Tamara Drewe,5.8,226
"Comedy, Drama",7.357,2011-01-14,Barney's Version,7.2,210
Documentary,7.172000000000001,2010-09-17,Catfish,6.8,284
Drama,7.14,2010-01-22,Hesher,7.0,335
"Documentary, War",7.119,2010-06-25,Restrepo,7.5,188
Drama,7.099,2010-01-27,Nowhere Boy,7.3,469
"Crime, Drama, Thriller",7.087000000000001,2010-04-27,The Killer Inside Me,5.9,304
"Comedy, Drama, Romance",7.047000000000001,2010-05-14,Just Wright,6.2,211
Comedy,6.862,2010-04-15,Death at a Funeral,5.7,439
"Comedy, Drama, Romance",6.752999999999999,2010-12-17,How Do You Know,5.1,453
Comedy,6.632000000000001,2010-07-30,Dinner for Schmucks,5.6,920
"Horror, Thriller, Crime, Mystery",6.606,2010-12-17,And Soon the Darkness,5.2,197
"Animation, Action, Thriller, Science Fiction",6.516,2010-12-07,Inception: The Cobol Job,7.4,227
"Comedy, Drama",6.4239999999999995,2010-04-16,The Joneses,6.2,312
"Comedy, Drama, Romance",6.209,2010-05-23,You Will Meet a Tall Dark Stranger,5.8,431
"Comedy, Thriller, Crime",6.087999999999999,2010-07-01,The Perfect Host,6.3,217
"Comedy, Crime, Thriller",5.996,2010-09-17,Leaves of Grass,6.0,214
"Drama, Horror, Thriller",5.172999999999999,2010-05-15,The Reef,5.6,264
"Action, Adventure, Horror, Science Fiction",0.667,2010-09-10,Resident Evil: Afterlife,5.9,2119
"Adventure, Fantasy, Action",38.068000000000005,2011-05-06,Thor,6.7,12764
Comedy,32.266,2011-05-25,The Hangover Part II,6.4,6231
"Adventure, Action, Fantasy",30.579,2011-05-20,Pirates of the Caribbean: On Stranger Tides,6.4,8571
"Family, Fantasy, Adventure",29.206,2011-07-15,Harry Potter and the Deathly Hallows: Part 2,8.1,11567
"Family, Animation, Drama",28.583000000000002,1994-06-23,The Lion King,8.2,10160
"Action, Adventure, Science Fiction",25.808000000000003,2011-07-22,Captain America: The First Avenger,6.9,12810
"Animation, Family, Adventure, Comedy",23.498,2011-06-16,Cars 2,5.9,4058
"Thriller, Action, Drama, Science Fiction",22.995,2011-08-04,Rise of the Planet of the Apes,7.2,7259
"Comedy, Romance",19.565,2011-02-11,Just Go with It,6.4,2958
"Thriller, Mystery, Science Fiction",19.453,2011-03-08,Limitless,7.1,6295
"Adventure, Fantasy, Romance",19.22,2011-11-17,The Twilight Saga: Breaking Dawn - Part 1,6.0,5098
"Action, Thriller, Science Fiction",18.912,2011-10-28,In Time,6.8,6245
"Action, Fantasy, Thriller",18.678,2011-12-10,Ghost Rider: Spirit of Vengeance,4.8,2039
"Action, Thriller, Adventure",18.304000000000002,2011-12-21,Mission: Impossible - Ghost Protocol,7.0,6102
"Adventure, Action, Crime, Mystery",18.301,2011-12-16,Sherlock Holmes: A Game of Shadows,7.1,6380
Drama,18.012999999999998,1997-12-05,Good Will Hunting,8.1,5764
"Thriller, Crime, Mystery, Drama",17.823,2011-12-14,The Girl with the Dragon Tattoo,7.3,3971
"Thriller, Action, Mystery",17.69,2011-09-23,Abduction,5.8,1791
"Horror, Thriller",17.659000000000002,2011-10-17,Wrong Turn 4: Bloody Beginnings,5.3,396
"Animation, Family",17.363,2011-05-25,Kung Fu Panda 2,6.7,3628
"Adventure, Action, Thriller, Science Fiction",17.257,2011-06-17,Green Lantern,5.1,4290
"Science Fiction, Drama, Romance, Fantasy",17.242,2011-12-20,Mr. Nobody,7.9,3279
"Adventure, Fantasy, Action",17.046,2011-08-19,Conan the Barbarian,5.2,1024
