genre_ids,popularity,release_date,title,vote_average,vote_count
"Action, Comedy, Crime",16.912,2013-06-28,The Heat,6.6,2441
"Action, Science Fiction, Adventure",16.759,2013-07-12,Pacific Rim,6.8,7632
"Thriller, Crime",16.646,2013-05-31,Now You See Me,7.4,9871
"Thriller, Crime, Action, Comedy",16.509,2013-04-26,Pain & Gain,6.1,2500
"Drama, History",16.493,2013-10-30,12 Years a Slave,7.9,6631
"Action, Adventure, Drama, Mystery, Romance, Fantasy",16.484,2013-08-21,The Mortal Instruments: City of Bones,6.3,2915
Comedy,16.316,2013-04-12,Scary Movie 5,4.7,1494
"Action, Adventure, Animation, Comedy, Family, Fantasy",16.29,2013-03-22,The Croods,6.8,3873
"Action, Thriller",16.149,2013-06-28,Hummingbird,6.0,861
"Fantasy, Horror, Action",15.982000000000001,2013-01-25,Hansel & Gretel: Witch Hunters,5.9,4548
"Romance, Science Fiction, Drama",15.968,2013-12-18,Her,7.9,7776
"Action, Crime, Thriller",15.894,2013-01-12,The Last Stand,5.9,1692
"Action, Thriller",15.857999999999999,2013-02-14,A Good Day to Die Hard,5.2,4437
"Adventure, Family, Fantasy",15.762,2013-08-07,Percy Jackson: Sea of Monsters,5.9,3109
"Science Fiction, Action, Adventure",15.533,2013-11-01,Ender's Game,6.6,3558
"Action, Drama, Thriller",15.482999999999999,2013-10-11,Captain Phillips,7.6,3909
"Action, Drama, War",15.404000000000002,2013-12-24,Lone Survivor,7.4,2289
"Drama, Romance",15.397,2013-05-10,The Great Gatsby,7.4,7120
"Horror, Adventure, Action",15.259,2004-05-07,Van Helsing,6.1,3047
"Adventure, Action, Science Fiction, Thriller",15.065,2013-03-29,G.I. Joe: Retaliation,5.5,3883
"Fantasy, Drama, Comedy, Romance, Family",15.030999999999999,1988-06-03,Big,7.0,1813
"Action, Comedy, Crime, Thriller",14.994000000000002,2013-07-19,RED 2,6.5,2368
"Action, Crime",14.95,2013-01-25,Parker,5.8,1868
"Animation, Family",14.876,2013-07-19,Turbo,6.1,1758
"Action, Comedy, Crime",14.8,2013-08-02,2 Guns,6.5,2368
"Action, Adventure, Crime",14.793,2013-08-16,Kick-Ass 2,6.4,3785
"Comedy, Crime",14.745999999999999,2013-08-07,We're the Millers,6.8,5231
"Drama, Action",14.623,2013-09-27,Rush,7.7,3877
"Action, Drama, Horror, Science Fiction, Thriller",14.582,2013-06-21,World War Z,6.7,9132
"Action, Thriller",14.422,2013-11-27,Homefront,6.5,1410
"Science Fiction, Action, Adventure",14.415,2013-05-31,After Earth,5.1,4154
"Drama, Thriller, Crime",14.357999999999999,2013-09-21,Prisoners,8.0,5785
"Horror, Thriller",14.283,2013-09-13,Insidious: Chapter 2,6.6,2279
"Comedy, Drama, Science Fiction",14.133,2013-11-08,About Time,7.9,3981
"Animation, Adventure, Family, Fantasy",13.995,2013-05-24,Epic,6.4,1670
"Animation, Family, Adventure, Comedy",13.956,2013-08-09,Planes,5.8,874
"Action, Thriller",13.864,2013-03-22,Olympus Has Fallen,6.2,4086
"Comedy, Drama, Romance",13.679,2013-09-13,The Spectacular Now,6.6,1801
"Action, Adventure, Horror, Thriller",13.67,2013-11-02,The Green Inferno,5.2,619
"Thriller, Crime, Drama",13.645999999999999,2013-01-18,Broken City,5.9,814
"Comedy, Crime",13.552999999999999,2013-02-09,Identity Thief,5.8,2230
"Fantasy, Adventure, Family",13.377,2013-03-08,Oz the Great and Powerful,5.8,4829
"Action, Animation, Mystery",13.325999999999999,2013-01-29,"Batman: The Dark Knight Returns, Part 2",7.9,689
"Horror, Comedy, Romance",13.259,2013-02-01,Warm Bodies,6.3,4109
"Action, Drama",13.214,2013-11-01,Man of Tai Chi,6.0,432
Horror,13.089,2013-04-05,Evil Dead,6.4,2664
"Action, Adventure, Science Fiction, Fantasy",13.078,2013-09-23,Marvel One-Shot: Agent Carter,7.6,341
"Crime, Drama, Action, Thriller",13.029000000000002,2013-01-11,Gangster Squad,6.3,2527
"Action, Drama, Thriller",13.026,2013-06-28,White House Down,6.4,2817
"Drama, Crime",12.96,2013-03-27,The Place Beyond the Pines,6.9,2781
"Fantasy, Family, Comedy, Animation",12.940999999999999,2013-07-31,The Smurfs 2,5.7,1200
Comedy,12.812999999999999,2013-01-25,Movie 43,4.4,1332
"Romance, Comedy, Drama",12.78,2013-09-27,Don Jon,5.9,2709
"Action, Adventure, Family, Fantasy",12.773,2013-03-01,Jack the Giant Slayer,5.6,3403
"Comedy, Action, Science Fiction",12.719000000000001,2013-08-23,The World's End,6.7,2990
Drama,12.507,2013-05-10,Mud,7.0,1592
"Action, Adventure, Western",12.482000000000001,2013-07-03,The Lone Ranger,6.0,3789
"Drama, Crime",12.481,2013-12-12,American Hustle,6.8,4443
"Romance, Science Fiction, Drama, Fantasy",12.454,2013-03-14,Upside Down,6.2,1645
"Drama, History",12.389000000000001,2013-11-22,Dallas Buyers Club,7.9,4961
Comedy,12.08,2013-12-18,Anchorman 2: The Legend Continues,6.1,1408
Horror,11.982999999999999,2013-01-18,Mama,6.1,2421
"Fantasy, Science Fiction, Animation, Action, Adventure",11.819,2013-07-28,Justice League: The Flashpoint Paradox,7.5,738
"Horror, Thriller",11.807,2013-10-04,Curse of Chucky,5.7,722
"Romance, Drama",11.765,2013-06-14,Before Midnight,7.4,1039
Comedy,11.632,2004-02-20,EuroTrip,6.5,1205
"Science Fiction, Thriller, Horror",11.582,2013-02-22,Dark Skies,6.1,1004
"Thriller, Horror, Crime",11.52,2013-09-20,I Spit on Your Grave 2,6.1,500
"Action, Adventure, Romance, Science Fiction, Thriller",11.458,2013-03-29,The Host,6.2,2788
"Horror, Thriller, Mystery",11.45,2013-08-23,You're Next,6.6,1258
"Drama, Thriller, Mystery, Action",11.378,2013-11-27,Oldboy,5.9,1032
"Crime, Thriller",11.315,2013-03-14,The Call,6.7,1779
Comedy,11.289000000000001,2013-07-12,Grown Ups 2,5.9,2090
Drama,11.28,2013-04-12,42,7.0,1028
Comedy,11.231,2013-04-25,The Big Wedding,5.8,678
"Fantasy, Drama, Romance",11.198,2013-02-14,Beautiful Creatures,5.7,1826
"Animation, Comedy, Family",11.062000000000001,2013-11-01,Free Birds,5.8,410
"Science Fiction, Thriller",10.868,2013-06-27,Europa Report,6.2,723
"Action, Crime",10.793,2013-08-29,Getaway,5.1,380
"Adventure, Comedy, Drama, Fantasy",10.743,2013-12-25,The Secret Life of Walter Mitty,7.1,4859
"Drama, Horror, Thriller",10.738,2013-03-01,Stoker,6.6,1282
"Drama, Crime",10.690999999999999,2013-03-15,Spring Breakers,5.0,2495
"Action, Comedy",10.635,2013-06-12,This Is the End,6.2,3789
"Action, Science Fiction, Thriller",10.618,2013-01-22,Death Race: Inferno,5.5,364
"Thriller, Science Fiction",10.613,2013-09-19,Coherence,7.3,1240
"Animation, Family, Adventure",10.56,2013-12-20,Walking with Dinosaurs,5.4,210
"Thriller, Crime, Drama",10.55,2013-10-25,The Counselor,5.1,1072
Drama,10.549000000000001,2013-12-06,Inside Llewyn Davis,7.2,1400
"Drama, Fantasy, Thriller",10.54,2013-06-28,Byzantium,6.2,468
"Comedy, Drama",10.443,2013-07-26,Blue Jasmine,7.0,1983
"Crime, Thriller, Drama",10.442,2013-10-02,Runner Runner,5.6,761
"Drama, Thriller",10.377,2013-12-12,Hours,6.5,404
"Action, Crime, Thriller",10.36,2013-10-11,Machete Kills,5.5,1079
"Thriller, Action, Crime, Drama",10.349,2013-03-08,Dead Man Down,6.0,866
"Thriller, Crime",10.34,2013-08-23,The Frozen Ground,6.3,762
"Drama, Thriller, Crime",10.196,2013-07-19,Only God Forgives,5.8,1396
"Drama, Romance",10.154,2013-12-01,Third Person,5.9,342
"Comedy, Drama, Romance",10.077,2013-05-16,The English Teacher,5.7,211
Drama,10.035,2013-08-23,Short Term 12,7.9,702
"Horror, Mystery, Thriller",10.03,2013-10-11,All the Boys Love Mandy Lane,5.5,326
"Comedy, Drama",9.977,2013-07-05,The Way Way Back,7.1,1043
"Action, Adventure, Drama",9.869,2013-10-18,All Is Lost,6.6,949
"Drama, Romance",9.81,2013-04-12,To the Wonder,5.9,266
"Horror, Drama, Thriller",9.753,2013-02-01,The Haunting in Connecticut 2: Ghosts of Georgia,5.7,272
Comedy,9.749,2013-03-01,21 & Over,5.7,1020
Drama,9.587,2013-07-26,Fruitvale Station,7.4,645
"Comedy, Drama",9.586,2013-12-27,August: Osage County,6.9,843
"Comedy, Drama, History",9.585,2013-12-20,Saving Mr. Banks,7.4,2050
"Thriller, Crime, Drama, Mystery",9.571,2013-04-05,Trance,6.6,1348
"Comedy, Crime",9.538,2013-10-01,The Art of the Steal,6.2,305
"Thriller, Science Fiction, Drama",9.527000000000001,2014-04-04,Under the Skin,6.1,1781
"Drama, Adventure",9.521,2013-11-15,Nebraska,7.4,967
"Thriller, Crime, Drama",9.426,2013-02-08,Side Effects,6.5,1879
Comedy,9.362,2013-03-15,The Incredible Burt Wonderstone,5.4,920
Drama,9.312999999999999,2013-09-06,Adore,6.1,558
"Action, Drama",9.307,2013-09-03,Empire State,5.1,340
Drama,9.258,2013-12-27,Labor Day,6.9,546
"Mystery, Thriller",9.253,2014-02-24,Odd Thomas,6.6,547
"Animation, Comedy, Adventure, Family, Science Fiction",9.227,2013-02-14,Escape from Planet Earth,5.8,459
"Action, Thriller",9.213,2013-05-17,Erased,5.8,347
"Family, Music, TV Movie, Comedy",9.183,2013-07-19,Teen Beach Movie,6.4,439
"Thriller, Drama, Crime",9.139,2013-12-06,Out of the Furnace,6.6,1077
"Drama, Romance",9.104,2013-11-08,Great Expectations,6.3,189
Romance,9.095,2013-02-14,Safe Haven,7.1,1433
"Action, Thriller",9.062000000000001,2013-04-26,The Numbers Station,5.4,311
"Drama, Comedy",9.038,2013-07-05,Stuck in Love,7.3,1175
Drama,9.033999999999999,2013-11-08,The Book Thief,7.5,2788
"Documentary, Music",9.005,2013-08-30,One Direction: This Is Us,8.1,370
"Romance, Drama",8.997,2013-08-23,Drinking Buddies,6.0,528
"Horror, Thriller",8.981,2013-05-10,No One Lives,5.7,250
Drama,8.978,2013-11-27,Philomena,7.4,945
"Adventure, Animation, Family",8.978,2008-12-19,The Tale of Despereaux,5.8,464
"Adventure, Comedy, Drama",8.896,2013-03-15,The Wizards Return: Alex vs. Alex,6.6,318
"Adventure, History",8.849,2013-04-26,Kon-Tiki,7.0,353
Comedy,8.823,2013-10-25,Jackass Presents: Bad Grandpa,6.0,928
"Horror, Thriller",8.812000000000001,2013-06-06,V/H/S/2,6.1,448
"Science Fiction, Thriller, Horror",8.759,2013-12-06,The Last Days on Mars,5.3,407
Comedy,8.748,2013-04-27,Welcome to the Jungle,4.9,208
"Comedy, Drama, Romance",8.722000000000001,2013-09-18,Enough Said,6.7,464
"Comedy, Drama",8.605,2013-05-31,The Kings of Summer,7.0,668
"Drama, Thriller",8.471,2013-04-04,The Company You Keep,6.1,377
"Horror, Thriller",8.434,2013-04-19,The Lords of Salem,5.3,445
"Action, Thriller",8.404,2013-07-12,Killing Season,5.5,581
Comedy,8.325,2013-08-09,In a World...,6.4,320
"Drama, Comedy, Romance",8.32,2013-01-10,Quartet,6.6,209
"Action, Adventure, Crime",8.315,2013-03-27,Welcome to the Punch,5.8,370
"Drama, History",8.262,2013-12-25,Mandela: Long Walk to Freedom,6.9,319
"Crime, Drama, Romance, Western",8.166,2013-08-16,Ain't Them Bodies Saints,6.2,217
"Drama, Romance",8.145,2013-10-06,The Immigrant,6.2,438
"Drama, Romance",8.122,2013-10-07,Romeo & Juliet,6.7,341
"Action, Science Fiction, Horror",8.07,2013-09-20,The Colony,5.2,632
"Comedy, Drama, Romance",8.065,2013-03-22,Admission,5.5,385
"Drama, Thriller",8.044,2013-05-31,The East,6.6,438
"Drama, History",8.023,2013-08-16,Jobs,6.1,1622
"Crime, Thriller",7.983,2014-04-25,Blue Ruin,6.9,736
Comedy,7.962000000000001,2013-11-22,Delivery Man,6.2,858
"Animation, Romance",7.956,2013-06-20,The Blue Umbrella,7.7,262
"Documentary, Drama",7.944,2013-08-30,Jodorowsky's Dune,8.0,276
Comedy,7.917999999999999,2013-12-25,Grudge Match,6.0,711
"TV Movie, Romance, Drama",7.819,2013-04-21,Remember Sunday,7.1,332
"Thriller, Mystery",7.763999999999999,2013-08-23,The Dyatlov Pass Incident,5.6,263
Drama,7.737,2013-01-22,Very Good Girls,5.9,255
"Animation, Action, Adventure, Family",7.727,2013-12-20,Tarzan,5.5,348
"Comedy, Romance",7.721,2013-02-10,I Give It a Year,5.4,489
"Mystery, Drama, Crime, Thriller",7.662999999999999,2013-08-28,Closed Circuit,5.9,243
Drama,7.63,2013-08-30,Starred Up,7.2,528
Drama,7.599,2013-08-16,The Butler,7.4,1831
"Horror, Thriller, Drama",7.561,2013-03-01,The Last Exorcism Part II,4.5,297
Comedy,7.557,2013-04-18,Adult World,6.2,227
"Drama, Action, Thriller, War",7.555,2013-11-08,How I Live Now,6.6,445
"Crime, Drama, Thriller",7.531000000000001,2013-05-09,Devil's Knot,6.0,351
Thriller,7.482,2013-06-14,Vehicle 19,5.2,303
"Drama, Comedy, Romance",7.475,2013-08-30,The Lifeguard,5.3,199
"Science Fiction, TV Movie, Action, Adventure, Comedy",7.465,2013-07-11,Sharknado,3.8,873
"Horror, Thriller, Comedy",7.412000000000001,2013-10-31,All Cheerleaders Die,5.1,210
"Science Fiction, Thriller",7.391,2013-04-25,The Machine,6.0,460
"Horror, Thriller",7.3420000000000005,2013-11-22,Contracted,5.2,259
"Comedy, Romance",7.33,2013-07-26,The To Do List,5.5,534
"Drama, Romance, Thriller",7.296,2013-10-16,Kill Your Darlings,7.2,847
"Comedy, Horror",7.263999999999999,2013-08-02,Cockneys vs Zombies,5.9,206
Drama,7.2620000000000005,2014-05-09,Palo Alto,6.4,528
Drama,7.242000000000001,2013-08-09,Lovelace,6.0,366
"Horror, Mystery, Thriller",7.1370000000000005,2013-10-25,Haunter,6.0,310
"Science Fiction, Comedy, Thriller, Horror, Mystery",7.117000000000001,2013-07-19,Grabbers,6.1,202
Comedy,6.928999999999999,2013-09-12,The Love Punch,5.8,238
"Comedy, Horror",6.909,2013-01-11,A Haunted House,5.5,871
Drama,6.904,2013-05-02,What Maisie Knew,7.1,236
"Horror, Thriller",6.821000000000001,2014-04-04,Afflicted,6.3,275
"Action, Comedy, Drama, Romance, Thriller",6.781000000000001,2013-11-15,Charlie Countryman,6.6,374
"Horror, Mystery, Thriller",6.7410000000000005,2013-04-04,Shelter,5.9,351
"Adventure, Comedy, Crime",6.702999999999999,2013-05-10,Sightseers,6.4,261
Horror,6.666,2013-06-21,Maniac,6.0,471
"Drama, Thriller",6.611000000000001,2013-10-18,The Fifth Estate,5.9,549
Comedy,6.5329999999999995,2013-11-01,Last Vegas,6.4,1211
"Comedy, Fantasy, Thriller",6.495,2013-04-05,The Brass Teapot,6.0,240
"Drama, Romance",6.494,2013-05-26,Behind the Candelabra,6.7,455
"Comedy, Crime, Drama",6.406000000000001,2013-03-08,Cheap Thrills,6.4,216
"Drama, Science Fiction",6.367999999999999,2013-04-05,Upstream Color,6.5,426
"Drama, Horror, Thriller",6.211,2013-09-27,We Are What We Are,5.7,304
"Comedy, Drama",6.188,2013-09-19,Thanks for Sharing,5.8,302
"Mystery, Romance, Thriller",6.172999999999999,2013-12-06,Night Train to Lisbon,6.6,199
"Drama, Thriller, Action",6.074,2013-06-30,Assault on Wall Street,5.9,282
"History, Drama, Thriller, Mystery",6.056,2013-10-04,Parkland,6.1,206
Documentary,5.7,2013-07-19,Blackfish,7.9,673
"Drama, Romance",5.226,2013-03-22,Love and Honor,5.9,227
"Action, Science Fiction, Adventure, Fantasy",4.323,2013-07-25,The Wolverine,6.3,6176
"Action, Thriller, Crime",2.114,2013-05-22,Fast & Furious 6,6.8,7077
"Adventure, Animation, Comedy, Family, Fantasy, Horror, TV Movie",0.6,2014-08-19,Toy Story of Terror!,7.1,413
"Adventure, Drama",0.6,2014-09-19,Tracks,7.1,273
Comedy,0.6,2013-06-07,The Internship,6.2,2631
Comedy,0.6,2013-11-08,The Starving Games,4.2,360
"Action, Thriller",78.123,2014-10-24,John Wick,7.2,10081
"Action, Adventure, Fantasy",53.783,2014-12-17,The Hobbit: The Battle of the Five Armies,7.3,8392
"Action, Science Fiction, Adventure",49.606,2014-08-01,Guardians of the Galaxy,7.9,17958
"Action, Adventure, Fantasy, Science Fiction",41.867,2014-05-23,X-Men: Days of Future Past,7.5,10062
"Action, Mystery, Science Fiction, Thriller",36.955,2014-09-19,The Maze Runner,7.1,10626
"Adventure, Family, Animation, Action, Comedy",36.92,2014-11-07,Big Hero 6,7.8,10176
"Science Fiction, Adventure, Thriller",33.836999999999996,2014-11-21,The Hunger Games: Mockingjay - Part 1,6.8,10087
"History, Drama, Thriller, War",33.078,2014-12-19,The Imitation Game,8.1,10396
"Mystery, Thriller, Drama",31.215,2014-10-03,Gone Girl,7.9,10459
"War, Drama, Action",29.116999999999997,2014-10-17,Fury,7.4,6653
"Horror, Action, Drama, Fantasy, War",29.043000000000003,2014-10-03,Dracula Untold,6.2,3719
"Thriller, Action, Crime",28.941999999999997,2014-09-26,The Equalizer,7.2,4989
"Adventure, Drama, Science Fiction",28.44,2014-11-05,Interstellar,8.2,18597
"Horror, Thriller",28.424,2014-07-18,The Purge: Anarchy,6.6,3754
"Science Fiction, Action, Drama, Thriller",27.641,2014-07-11,Dawn of the Planet of the Apes,7.3,7080
"Fantasy, Action, Adventure, Animation, Comedy, Family",27.105999999999998,2014-06-13,How to Train Your Dragon 2,7.7,5589
"Adventure, Drama, Action",26.789,2014-12-12,Exodus: Gods and Kings,5.7,2909
"Crime, Comedy, Action, Adventure",26.103,2015-02-13,Kingsman: The Secret Service,7.6,10287
"Science Fiction, Action, Adventure, Fantasy, Comedy",25.619,2014-08-08,Teenage Mutant Ninja Turtles,5.8,4259
"Crime, Drama, Thriller",25.596999999999998,2014-10-31,Nightcrawler,7.7,5860
"Action, Adventure, History, Romance, Drama",25.215,2014-02-21,Pompeii,5.4,2078
"Action, Drama, Science Fiction",24.982,2014-05-16,Godzilla,6.1,5053
"Action, Adventure",23.921999999999997,2014-07-25,Hercules,5.6,2606
"Action, War, Fantasy",23.68,2014-03-07,300: Rise of an Empire,6.0,3870
"Drama, Comedy",21.833000000000002,2014-10-17,Birdman,7.4,7747
"Science Fiction, Action, Adventure",20.961,2014-06-27,Transformers: Age of Extinction,5.8,4805
"Family, Animation, Adventure, Comedy",20.899,2014-11-26,Penguins of Madagascar,6.4,2273
"Crime, Thriller",20.896,2014-08-22,Sin City: A Dame to Kill For,6.3,2210
"Action, Adventure, Fantasy",20.846999999999998,2014-05-02,The Amazing Spider-Man 2,6.4,7220
Comedy,20.429000000000002,2014-07-18,Sex Tape,5.3,2684
"Adventure, Comedy, Fantasy, Family",20.064,2014-12-19,Night at the Museum: Secret of the Tomb,6.1,3536
"Action, Science Fiction",19.753,2014-06-06,Edge of Tomorrow,7.6,8047
"Adventure, Animation, Comedy, Family, Fantasy",19.375,2014-02-07,The Lego Movie,7.4,4839
"Crime, Drama, Mystery, Thriller",19.373,2014-09-19,A Walk Among the Tombstones,6.3,1685
"Fantasy, Adventure, Action, Family, Romance",19.274,2014-05-30,Maleficent,7.0,8143
"Horror, Mystery, Crime",19.127,2004-10-29,Saw,7.4,4795
"Action, Adventure, Thriller",18.797,2014-08-15,The Expendables 3,6.1,2876
"War, Action",18.473,2014-12-25,American Sniper,7.4,7658
Comedy,18.421,2014-11-26,Horrible Bosses 2,6.2,2581
"Horror, Thriller",18.419,2015-03-27,It Follows,6.5,3485
Comedy,18.395,2014-08-13,Let's Be Cops,6.3,1693
"Comedy, Drama",18.31,2014-03-07,The Grand Budapest Hotel,8.0,8091
"Adventure, Comedy, Family, Animation",18.11,2014-04-11,Rio 2,6.3,1803
"Action, Adventure, Science Fiction",18.073,2014-04-04,Captain America: The Winter Soldier,7.7,11034
"Action, Science Fiction",17.851,2014-02-12,RoboCop,5.8,3390
"Crime, Action, Thriller",17.747,2014-08-27,The November Man,6.1,852
"Action, Adventure, Science Fiction",16.982,2014-03-21,Divergent,6.9,8279
Thriller,16.82,2014-10-24,Stonehearst Asylum,6.7,692
"Action, Science Fiction",16.73,2014-07-25,Lucy,6.3,10019
Drama,16.464000000000002,2014-10-10,The Judge,7.3,2356
Comedy,16.379,2014-10-31,St. Vincent,7.1,1069
"Mystery, Thriller",16.07,2014-10-31,Before I Go to Sleep,6.4,1098
"Romance, Drama",16.03,2014-05-16,The Fault in Our Stars,7.6,7236
Comedy,15.964,2014-11-14,Dumb and Dumber To,5.5,1842
"Thriller, Romance",15.924000000000001,2014-10-11,Escobar: Paradise Lost,6.3,476
Comedy,15.722999999999999,2014-05-09,Chef,7.1,1764
"Action, Comedy",15.501,2014-12-25,The Interview,6.2,3579
"Thriller, Science Fiction",15.5,2014-10-10,Automata,5.6,958
"Animation, Family",15.435,2014-04-01,Tinker Bell and the Pirate Fairy,6.7,511
Horror,15.389000000000001,2014-10-24,Ouija,5.1,1670
Drama,15.237,2014-10-17,Camp X-Ray,6.8,618
Comedy,14.979000000000001,2014-05-09,Neighbors,6.2,4536
"Drama, Crime",14.795,2014-09-12,The Drop,6.7,1215
"Crime, Thriller",14.519,2014-09-12,No Good Deed,5.8,286
"Thriller, Mystery",14.425,2014-03-14,Enemy,6.9,2754
"Adventure, Comedy, Family",14.362,2004-12-17,Lemony Snicket's A Series of Unfortunate Events,6.8,2975
"Comedy, Romance, Crime, Drama, Mystery",14.244000000000002,2015-01-09,Inherent Vice,6.6,1359
"Action, Drama, Thriller, Crime",14.055,2014-03-28,Sabotage,5.5,779
Horror,13.989,2014-10-03,Annabelle,5.6,3357
"Thriller, Action, Science Fiction",13.897,2014-10-03,Left Behind,4.0,713
"Drama, Romance",13.866,2014-11-26,The Theory of Everything,7.9,6412
"Action, Adventure",13.754000000000001,2014-01-10,The Legend of Hercules,4.5,805
"Fantasy, Comedy",13.725999999999999,2014-12-25,Into the Woods,5.7,2880
"Action, Crime, Drama, Thriller",13.722999999999999,2014-03-14,Need for Speed,6.1,2389
"Drama, Thriller, Crime",13.67,2014-12-12,The Captive,5.9,570
Comedy,13.549000000000001,2014-05-02,Walk of Shame,5.9,868
"Crime, Drama",13.527999999999999,2014-07-18,The Rover,6.2,435
Drama,13.466,2014-03-06,Nymphomaniac: Vol. I,6.9,1686
"Comedy, Drama, Family",13.422,2014-12-19,Annie,6.1,770
"Drama, Mystery",13.344000000000001,2014-03-20,Nymphomaniac: Vol. II,6.7,1459
Horror,13.112,2014-10-14,Wrong Turn 6: Last Resort,4.7,311
"War, Drama, History, Action",12.860999999999999,2014-02-07,The Monuments Men,5.9,2229
"Animation, Adventure, Family",12.812999999999999,2014-03-07,Mr. Peabody & Sherman,6.6,1357
"Crime, Drama, Mystery, Thriller",12.71,1959-07-01,Anatomy of a Murder,7.9,359
"Horror, Thriller",12.7,2014-01-24,"I, Frankenstein",5.2,1090
"Drama, War",12.354000000000001,2014-12-25,Unbroken,7.4,2240
"Thriller, Action",12.324000000000002,2014-08-22,The Prince,4.8,317
"Crime, Drama, Thriller",12.270999999999999,2014-12-31,A Most Violent Year,6.6,792
Drama,12.047,2014-08-22,If I Stay,7.4,2703
Drama,12.017000000000001,2014-12-25,Big Eyes,7.0,2153
"Thriller, Crime, Drama",12.003,2014-03-21,Blood Ties,6.1,268
"Romance, Drama, Music",11.765999999999998,2014-07-25,Step Up All In,6.8,1213
Horror,11.732000000000001,2014-12-05,The Pyramid,4.8,511
Comedy,11.717,2014-09-26,What We Did on Our Holiday,6.8,273
"Drama, Horror",11.502,2014-11-28,The Babadook,6.4,3528
"Romance, Animation, Adventure, Comedy, Family, Fantasy",11.392000000000001,2014-10-17,The Book of Life,7.4,1228
"Comedy, Romance",11.338,2014-12-06,"Love, Rosie",7.8,3594
"Comedy, Crime",11.337,2014-08-29,Life of Crime,5.6,205
Documentary,11.334000000000001,2014-10-24,Citizenfour,7.9,713
"Thriller, Crime, Horror",11.283,2014-07-02,Deliver Us from Evil,6.1,1104
"Animation, Comedy, Family, Fantasy",11.219000000000001,2014-09-26,The Boxtrolls,6.7,1016
"Comedy, Horror",11.186,2015-02-13,What We Do in the Shadows,7.6,1594
"Crime, Comedy, Action",11.175999999999998,2014-06-13,22 Jump Street,6.9,5167
"Romance, Comedy",11.165,2006-06-02,The Break-Up,5.7,1480
Drama,11.140999999999998,2014-07-11,Boyhood,7.5,3097
Comedy,11.119000000000002,2015-08-21,Some Kind of Beautiful,5.7,331
"Animation, Action",11.109000000000002,2014-02-02,Justice League: War,7.2,415
Drama,11.095,2014-08-29,Mommy,8.3,1399
"Action, Drama, Thriller",11.061,2014-01-17,Jack Ryan: Shadow Recruit,6.1,1687
"Action, Drama, Thriller, Crime",11.011,2014-02-14,3 Days to Kill,6.1,1279
Comedy,10.979000000000001,2014-07-03,Tammy,5.2,735
"Comedy, Action, Fantasy",10.934000000000001,2014-02-07,Vampire Academy,5.9,1012
"Horror, Thriller",10.899000000000001,2014-04-18,13 Sins,6.3,576
Horror,10.841,2014-04-03,Oculus,6.4,1747
"Action, Comedy",10.831,2014-01-17,Ride Along,6.2,1277
"Comedy, Music, Romance, Drama",10.828,2014-07-11,Begin Again,7.2,2089
"Comedy, Western",10.815999999999999,2014-05-30,A Million Ways to Die in the West,5.8,2219
"Animation, Action, Adventure",10.785,2014-04-20,Son of Batman,6.8,476
Drama,10.747,2014-12-05,Still Alice,7.5,1946
Drama,10.702,2015-06-12,Madame Bovary,5.5,224
"Adventure, Comedy",10.642000000000001,1986-09-26,Crocodile Dundee,6.3,917
Comedy,10.613,2014-05-23,Blended,6.7,1709
"Horror, Thriller",10.613,2014-08-29,"As Above, So Below",6.2,1321
Drama,10.581,2014-04-11,Draft Day,6.6,460
"Animation, Comedy, Family, Adventure",10.501,2014-01-17,The Nut Job,5.6,529
Drama,10.341,2014-09-12,The Skeleton Twins,6.7,394
Thriller,10.267000000000001,2014-07-25,A Most Wanted Man,6.5,784
"Drama, Romance",10.259,2014-04-11,Only Lovers Left Alive,7.4,1055
"Drama, Comedy, Romance",10.167,2014-08-08,What If,6.6,1162
"Action, Drama, Mystery, Thriller",10.151,1997-08-08,Conspiracy Theory,6.5,707
Drama,10.097999999999999,2014-12-05,Wild,7.0,1454
Horror,10.074,2014-09-19,Wyrmwood: Road of the Dead,6.2,240
"Thriller, Crime, Drama, Mystery",10.062000000000001,2014-10-10,Kill the Messenger,6.6,507
"Thriller, Science Fiction",10.032,2014-06-13,The Signal,5.9,901
"Family, Animation, Fantasy",10.015,2014-12-19,Song of the Sea,8.1,700
"Crime, Drama, Comedy",9.817,2014-05-30,Filth,6.9,956
Drama,9.718,2014-04-16,Heaven is for Real,6.2,363
"Drama, Comedy",9.681000000000001,2014-09-19,This Is Where I Leave You,6.6,695
"Drama, History, Romance",9.647,1946-12-25,The Best Years of Our Lives,7.8,243
"Thriller, Science Fiction, Mystery",9.641,2014-05-24,Time Lapse,6.5,618
"Thriller, Horror, Drama, Fantasy",9.615,2014-10-03,Horns,6.3,1382
"Drama, History",9.582,2014-04-11,The Railway Man,6.9,408
"Comedy, Family",9.549,2014-06-27,Zapped,5.9,291
"History, Drama",9.541,2014-12-25,Selma,7.5,1354
"Action, Comedy, Thriller",9.54,2014-10-14,Stretch,6.2,359
Comedy,9.516,2014-03-14,Bad Words,6.4,451
Drama,9.467,2014-08-01,Calvary,7.1,531
"Horror, Thriller",9.446,2014-01-03,Paranormal Activity: The Marked Ones,5.3,752
Drama,9.317,2014-12-31,Cake,6.3,565
"Drama, Fantasy, Science Fiction",9.314,2014-08-19,The Zero Theorem,6.1,615
